"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"OECS",NA,NA,NA,NA,NA,26.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가나",23854000,30096970,47330016342.6,1641.49,8.51,20.81,4.996,5.4,64.36,41,38.3,66.1,3.9,51.95,6.63
"가다",NA,NA,NA,NA,NA,29.69,4.085,9.6,65.8,30,NA,NA,4.4,NA,3.1
"가봉",26767000,2109099,14622880885.7,7220.69,1.1,35.6,4.799,7.1,52.21,31,NA,NA,3.7,NA,3.61
"가이아나",21497000,786508,3675631961.3,4725.32,2.92,26.63,NA,29.2,69.02,37,NA,NA,2.5,NA,6.67
"가자지구",NA,NA,NA,NA,NA,NA,NA,NA,75.54,NA,NA,NA,NA,NA,NA
"감비아",1130000,2228075,1014621519.9,NA,3.5,31.35,4.516,5.1,65.36,37,NA,NA,5.4,NA,4.31
"건지섬",NA,NA,NA,NA,NA,NA,NA,NA,82.68,NA,NA,NA,NA,NA,NA
"과들루프",170000,448798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"과테말라",10889000,17577842,75620095537.5,4470.99,2.76,35.94,6.436,2.7,72.83,27,44.5,NA,2.9,55.92,5.6
"괌",54000,167245,NA,NA,NA,NA,NA,NA,79.42,NA,NA,NA,2.3,NA,NA
"그",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96
"그레나다",34000,NA,1118816679.4,NA,3.73,NA,NA,1.7,74.75,52,NA,NA,2.1,NA,NA
"그루지야",NA,NA,NA,NA,NA,28.98,4.519,8.2,78.42,58,40.5,66.8,2,19.86,5.5
"그리스",13196000,11124603,200288277129,18613.42,1.35,29.08,5.287,5,80.77,45,33.2,67.7,1.4,38.57,7.29
"그린란드",41045000,NA,NA,NA,NA,NA,NA,NA,72.89,NA,NA,NA,2.1,NA,NA
"기니",24586000,13398180,10491474929.7,NA,12.7,33.49,4.534,6.3,61.49,28,NA,NA,4.8,NA,1.98
"기니",24586000,13398180,10491474929.7,NA,12.7,33.49,4.534,6.3,61.49,28,NA,NA,4.8,NA,3.14
"기니비사우",3613000,1953723,1346933490.2,723.66,5.92,30.95,NA,4,51.3,16,NA,NA,4.6,NA,NA
"나미비아",82429000,2641996,13244597345.4,5227.18,-0.77,18.95,4.639,8.7,51.04,53,55,91,3.4,68.66,6.25
"나우루",2000,NA,113884908.4,NA,4.15,NA,NA,NA,67.77,NA,NA,NA,NA,NA,NA
"나이지리아",92377000,200962417,375770713742.8,1968.56,0.81,36.5,5.265,9.5,54.46,27,39,69.5,5.5,64.41,4.44
"남수단",NA,NA,NA,NA,NA,45.65,2.853,3.7,NA,13,NA,NA,4.8,NA,NA
"남아프리카공화국",121909000,58065097,349419343614.1,6160.73,1.32,22.19,4.722,11.6,50.64,43,57.7,86.7,2.4,76.8,NA
"남쪽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"남쪽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24
"남한",NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA
"네덜란드",4154000,17132908,826200282501.1,48223.16,3.16,8.63,7.488,12.6,81.52,82,26.6,73,1.7,28.57,8.89
"네팔",14718000,29942018,24472013233.8,835.08,7.5,33.4,4.913,8.8,68.51,31,39.5,67.3,2.1,36.44,5.18
"노르웨이",38517800,5400916,398831956477.9,75504.57,1.92,7.82,7.554,12.2,81.01,84,24.9,80.5,1.7,35.32,9.87
"뉴질랜드",26771000,4792409,205852838254.7,42940.58,3.03,10.75,7.307,12.1,81.35,87,32.5,72.3,1.8,39.55,NA
"뉴칼레도니아",1858000,283376,NA,NA,NA,NA,NA,NA,78.02,NA,NA,NA,2,NA,NA
"니우에",26000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"니제르",126700000,23176691,8119732792.5,378.06,4.89,29.26,4.628,4.6,56.2,34,NA,NA,7.2,NA,3.76
"니카라과",13037000,6351157,13814261535.5,2221.81,4.86,35.53,6.105,12.2,73.74,25,43.2,71.9,2.2,NA,3.63
"대만",3596000,23551000,572767000000,24318,2.89,24.98,6.446,NA,79.41,63,NA,NA,NA,17.38,7.73
"덴마크",4292000,5775224,324871968807.5,56307.51,2.24,9.87,7.6,12.8,79.66,88,25.3,80.9,1.8,24.25,9.22
"도미니카",NA,NA,NA,NA,NA,NA,NA,NA,77.35,57,NA,NA,1.9,NA,NA
"도미니카공화국",4867000,10996774,75931656814.7,7052.26,4.55,27.9,5.425,9.9,78.44,30,44.6,NA,2.4,61.35,6.54
"도미니카연방",75000,NA,562540740.7,7609.61,-4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"독일",35740900,82438639,3677439129776.6,44469.91,2.22,14.6,6.985,13.6,80.9,80,29,79.1,1.6,34.51,8.68
"동티모르",1487000,1352360,2954620999.6,NA,-8,29.93,NA,4.6,70.15,35,NA,NA,5.4,NA,NA
"라오스",23680000,7064242,16853079615.4,2457.38,6.89,64.49,4.796,8.6,64.97,29,41.1,84.9,2.6,NA,2.37
"라이베리아",11137000,4977720,2158000000,NA,2.45,31.49,3.975,6.8,59.79,32,NA,NA,4.5,NA,5.35
"라트비아",6449000,1911108,30264454641.8,15594.29,4.55,19.53,5.94,21.2,74.41,58,36.3,53.6,1.7,36.77,7.38
"러시아",1709825000,143895551,1577524145963.2,10743.1,1.55,50.31,5.648,31,68.02,28,43.9,82.6,1.8,41.93,2.94
"레바논",1045000,6065922,51844487742,NA,2.02,32.44,5.197,3.3,76.51,28,NA,NA,1.7,44.27,4.63
"레소토",3036000,2292682,2639386291.4,1181.81,5.59,29.74,3.802,21.2,53.04,41,49.3,79.8,3,NA,6.64
