국가이름,국내총생산,국내총생산_순위,X1인당국내총생산,X1인당국내총생산_순위,인구,인구_순위,국토면적,국토면적_순위,국민총소득,국민총소득_순위,X1인당국민총소득,X1인당국민총소득_순위,경제성장률,경제성장률_순위,비교물가수준,비교물가수준_순위,실업률,실업률_순위,수출,수출_순위,수입,수입_순위,언론자유지수,언론자유지수_순위,행복지수,행복지수_순위
미국,1.94E+13,1,59531.66,6,329093110,3,983151000,3,1.96E+13,1,60431.58,5,2.27,127,109,18,4.4,55,1.55E+12,3,2.41E+12,1,23.73,45,6.886,18
중국,1.22E+13,2,8826.99,65,1420062022,1,960000740,4,1.22E+13,2,8660.09,57,6.9,16,NA,NA,NA,NA,2.28E+12,2,1.85E+12,3,78.29,176,5.246,86
일본,4.87E+12,3,38428.1,23,126854745,11,37797100,61,5.05E+12,3,39604.79,21,1.71,146,102,21,2.8,73,6.98E+11,5,6.71E+11,5,28.64,67,5.915,54
독일,3.68E+12,4,44469.91,16,82438639,19,35740900,62,3.75E+12,4,45708.81,15,2.22,129,107,19,3.8,64,1.45E+12,4,1.17E+12,4,14.39,15,6.965,15
영국,2.62E+12,5,39720.44,21,66959016,21,24361000,78,2.58E+12,7,38977.65,22,1.79,142,119,12,4.3,56,4.41E+11,11,6.16E+11,7,23.25,40,6.814,19
인도,2.60E+12,6,1939.61,119,1368737513,2,328725900,7,2.60E+12,6,1939.61,94,6.62,24,NA,NA,NA,NA,2.99E+11,18,4.46E+11,12,43.24,138,4.19,133
프랑스,2.58E+12,7,38476.66,22,65480710,22,54908700,46,2.64E+12,5,40617.32,20,1.82,141,111,16,9.4,18,5.35E+11,7,6.24E+11,6,21.87,33,6.489,23
브라질,2.06E+12,8,9821.41,61,212392717,5,851577000,5,2.01E+12,8,9618,54,0.98,162,NA,NA,NA,NA,2.18E+11,25,1.58E+11,27,31.2,102,6.419,28
이탈리아,1.93E+12,9,31952.98,24,59216525,24,30134000,70,1.95E+12,9,32767.34,24,1.5,152,103,20,11.2,13,5.06E+11,9,4.52E+11,11,24.12,46,6,47
캐나다,1.65E+12,10,45032.12,15,37279811,38,998467000,2,1.63E+12,10,44520.49,16,3.05,100,115,13,6.3,38,4.24E+11,13,4.42E+11,13,15.28,18,7.328,7
러시아,1.58E+12,11,10743.1,55,143895551,9,1709825000,1,1.54E+12,11,10681.35,50,1.55,151,NA,NA,5.2,45,3.53E+11,16,2.38E+11,18,49.96,148,5.81,59
한국,1.53E+12,12,29743.5,26,51811167,28,10029535.08,107,1.53E+12,12,29744.6,26,3.1,98,100,22,3.7,66,5.74E+11,6,4.78E+11,9,23.51,43,5.875,57
오스트레일리아,1.32E+12,13,53799.94,9,25088636,55,774122000,6,1.29E+12,14,52673.46,10,1.96,136,133,6,5.6,42,2.31E+11,20,2.21E+11,22,15.46,19,7.272,10
스페인,1.31E+12,14,28156.82,29,46441049,30,50596400,49,1.31E+12,13,28286.55,27,3.05,99,95,23,17.2,6,3.19E+11,17,3.51E+11,16,20.51,31,6.31,36
멕시코,1.15E+12,15,8902.83,63,132328035,10,196438000,13,1.12E+12,15,8699.76,56,2.04,131,61,33,3.4,69,4.09E+11,14,4.20E+11,14,48.91,147,6.488,24
인도네시아,1.02E+12,16,3846.86,99,269536482,4,191093100,14,9.83E+11,16,3725.24,80,5.07,38,NA,NA,4.2,57,1.69E+11,27,1.57E+11,28,39.68,124,5.093,96
터키,8.51E+11,17,10540.62,57,82961805,17,78535000,35,8.40E+11,17,10403.23,52,7.42,11,52,35,10.8,15,1.57E+11,29,2.34E+11,19,53.5,157,5.483,74
