"국가이름","국내총생산","국내총생산_순위","X1인당국내총생산","X1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","X1인당국민총소득","X1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위","언론자유지수","언론자유지수_순위","행복지수","행복지수_순위","기대수명","기대수명_순위"
"미국",19400000000000,1,59531.66,6,329093110,3,983151000,3,19600000000000,1,60431.58,5,2.27,127,109,18,4.4,55,1550000000000,3,2410000000000,1,23.73,45,6.886,18,"79.25",53
"중국",12200000000000,2,8826.99,65,1420062022,1,960000740,4,12200000000000,2,8660.09,57,6.9,16,NA,NA,NA,NA,2280000000000,2,1850000000000,3,78.29,176,5.246,86,"75.73",111
"일본",4870000000000,3,38428.1,23,126854745,11,37797100,61,5050000000000,3,39604.79,21,1.71,146,102,21,2.8,73,698000000000,5,671000000000,5,28.64,67,5.915,54,"85.52",2
"독일",3680000000000,4,44469.91,16,82438639,19,35740900,62,3750000000000,4,45708.81,15,2.22,129,107,19,3.8,64,1450000000000,4,1170000000000,4,14.39,15,6.965,15,"80.9",28
"영국",2620000000000,5,39720.44,21,66959016,21,24361000,78,2580000000000,7,38977.65,22,1.79,142,119,12,4.3,56,441000000000,11,616000000000,7,23.25,40,6.814,19,"80.88",29
"인도",2600000000000,6,1939.61,119,1368737513,2,328725900,7,2600000000000,6,1939.61,94,6.62,24,NA,NA,NA,NA,299000000000,18,446000000000,12,43.24,138,4.19,133,"69.09",165
"프랑스",2580000000000,7,38476.66,22,65480710,22,54908700,46,2640000000000,5,40617.32,20,1.82,141,111,16,9.4,18,535000000000,7,624000000000,6,21.87,33,6.489,23,"81.86",14
"브라질",2060000000000,8,9821.41,61,212392717,5,851577000,5,2010000000000,8,9618,54,0.98,162,NA,NA,NA,NA,218000000000,25,158000000000,27,31.2,102,6.419,28,"74.3",128
"이탈리아",1930000000000,9,31952.98,24,59216525,24,30134000,70,1950000000000,9,32767.34,24,1.5,152,103,20,11.2,13,506000000000,9,452000000000,11,24.12,46,6,47,"82.35",10
"캐나다",1650000000000,10,45032.12,15,37279811,38,998467000,2,1630000000000,10,44520.49,16,3.05,100,115,13,6.3,38,424000000000,13,442000000000,13,15.28,18,7.328,7,"82.02",11
"러시아",1580000000000,11,10743.1,55,143895551,9,1709825000,1,1540000000000,11,10681.35,50,1.55,151,NA,NA,5.2,45,353000000000,16,238000000000,18,49.96,148,5.81,59,"68.02",171
"한국",1530000000000,12,29743.5,26,51811167,28,10029535.08,107,1530000000000,12,29744.6,26,3.1,98,100,22,3.7,66,574000000000,6,478000000000,9,23.51,43,5.875,57,"80.66",33
"오스트레일리아",1320000000000,13,53799.94,9,25088636,55,774122000,6,1290000000000,14,52673.46,10,1.96,136,133,6,5.6,42,231000000000,20,221000000000,22,15.46,19,7.272,10,"82.38",9
