"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"미국","19조 3,906억 400만 ","1","5만 9,531.66","6","3억 2,909만 3,110","3","9억 8,315만 1천","3","19조 6,075억 9,800만 ","1","6만 431.58","5","2.27","127","109","18",NA,NA,"1조 5,462억 7,296만 1천","3","2조 4,084억 7,570만 2천","1"
"중국","12조 2,377억 47만 9,375","2","8,826.99","65","14억 2,006만 2,022","1","9억 6천만 740","4","12조 2,065억 4,554만 628.5","2","8,660.09","57","6.9","16",NA,NA,NA,NA,"2조 2,803억 6,679만 2천","2","1조 8,459억 7,490만 8천","3"
"일본","4조 8,721억 3,694만 5,507.6","3","3만 8,428.1","23","1억 2,685만 4,745","11","3,779만 7,100","61","5조 489억 9,435만 3,704.6","3","3만 9,604.79","21","1.71","146","102","21",NA,NA,"6,981억 6,836만 9천","5","6,712억 5,846만 3천","5"
"독일","3조 6,774억 3,912만 9,776.6","4","4만 4,469.91","16","8,243만 8,639","19","3,574만 900","62","3조 7,533억 4,356만 4,924.5","4","4만 5,708.81","15","2.22","129","107","19",NA,NA,"1조 4,479억 6,726만 3천","4","1조 1,666억 8,793만 6천","4"
"영국","2조 6,224억 3,395만 9,604.2","5","3만 9,720.44","21","6,695만 9,016","21","2,436만 1천","78","2조 5,796억 269만 9,991","7","3만 8,977.65","22","1.79","142","119","12",NA,NA,"4,412억 2,530만 3천","11","6,159억 663만 ","7"
"인도","2조 5,974억 9,116만 2,897.7","6","1,939.61","119","13억 6,873만 7,513","2","3억 2,872만 5,900","7","2조 5,974억 9,116만 2,897.7","6","1,939.61","94","6.62","24",NA,NA,NA,NA,"2,989억 2,782만 9천","18","4,456억 9,886만 7천","12"
"프랑스","2조 5,825억 130만 7,216.4","7","3만 8,476.66","22","6,548만 710","22","5,490만 8,700","46","2조 6,392억 9,491만 3,780.9","5","4만 617.32","20","1.82","141","111","16",NA,NA,"5,349억 7,705만 3천","7","6,239억 3,164만 7천","6"
"브라질","2조 555억 550만 2,224.7","8","9,821.41","61","2억 1,239만 2,717","5","8억 5,157만 7천","5","2조 129억 3,405만 9,875","8","9,618","54","0.98","162",NA,NA,NA,NA,"2,177억 5,614만 8천","25","1,575억 170만 1천","27"
"이탈리아","1조 9,347억 9,793만 7,411.3","9","3만 1,952.98","24","5,921만 6,525","24","3,013만 4천","70","1조 9,450억 6,627만 9,175","9","3만 2,767.34","24","1.5","152","103","20",NA,NA,"5,062억 4,134만 1천","9","4,521억 4,272만 4천","11"
"캐나다","1조 6,530억 4,279만 5,255","10","4만 5,032.12","15","3,727만 9,811","38","9억 9,846만 7천","2","1조 6,305억 2,743만 9,008.7","10","4만 4,520.49","16","3.05","100","115","13",NA,NA,"4,237억 693만 6천","13","4,421억 8,414만 ","13"
"러시아","1조 5,775억 2,414만 5,963.2","11","1만 743.1","55","1억 4,389만 5,551","9","17억 982만 5천","1","1조 5,380억 509만 5,962.1","11","1만 681.35","50","1.55","151",NA,NA,NA,NA,"3,529억 7,500만 ","16","2,379억 9,100만 ","18"
"한국","1조 5,302억 ","12","2만 9,743.5","26","5,181만 1,167","28","1,002만 9,535.08","107","1조 5,302억 ","12","2만 9,744.6","26","3.1","98","100","22",NA,NA,"5,736억 9,442만 1천","6","4,784억 7,829만 6천","9"
"오스트레일리아","1조 3,234억 2,107만 2,479.1","13","5만 3,799.94","9","2,508만 8,636","55","7억 7,412만 2천","6","1조 2,878억 9,576만 8,911.7","14","5만 2,673.46","10","1.96","136","133","6",NA,NA,"2,310억 4,974만 4천","20","2,213억 3,241만 6천","22"
"스페인","1조 3,113억 2,001만 5,516","14","2만 8,156.82","29","4,644만 1,049","30","5,059만 6,400","49","1조 3,112억 394만 5,762.4","13","2만 8,286.55","27","3.05","99","95","23",NA,NA,"3,194억 20만 5천","17","3,509억 7,894만 5천","16"
"멕시코","1조 1,499억 1,879만 4,765.7","15","8,902.83","63","1억 3,232만 8,035","10","1억 9,643만 8천","13","1조 1,236억 8,902만 980.8","15","8,699.76","56","2.04","131","61","33",NA,NA,"4,094억 9,416만 9천","14","4,203억 6,915만 1천","14"
"인도네시아","1조 155억 3,901만 7,536.5","16","3,846.86","99","2억 6,953만 6,482","4","1억 9,109만 3,100","14","9,834억 3,028만 3,946.4","16","3,725.24","80","5.07","38",NA,NA,NA,NA,"1,687억 2,903만 1천","27","1,568억 9,330만 5천","28"
"터키","8,511억 241만 1,118.1","17","1만 540.62","57","8,296만 1,805","17","7,853만 5천","35","8,400억 931만 2,299.6","17","1만 403.23","52","7.42","11","52","35",NA,NA,"1,571억 7,746만 8천","29","2,337억 5,610만 6천","19"
"네덜란드","8,262억 28만 2,501.1","18","4만 8,223.16","11","1,713만 2,908","69","415만 4천","132","8,214억 9,776만 7,144.7","18","4만 8,221.46","12","3.16","95","114","14",NA,NA,"5,277억 7,595만 9천","8","4,647억 9,539만 6천","10"
"사우디아라비아","6,838억 2,714만 4,288.5","19","2만 760.91","36","3,414만 662","41","2억 1,496만 9천","12","6,956억 3,946만 4,288.5","19","2만 1,119.53","32","-0.74","174",NA,NA,NA,NA,"2,210억 4,506만 7천","23","1,301억 1,706만 7천","30"
