"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"미국",193906400,1,59531.66,6,329093110,3,NA,3,1960759800,1,6431.58,5,2.27,127,109,18,4.4,55,NA,3,NA,1
"중국",122377479375,2,8826.99,65,1420062022,1,NA,4,1220654554628.5,2,8660.09,57,6.9,16,NA,NA,NA,NA,NA,2,NA,3
"일본",4872136945507.6,3,38428.1,23,126854745,11,37797100,61,548994353704.6,3,39604.79,21,1.71,146,102,21,2.8,73,NA,5,NA,5
"독일",3677439129776.6,4,44469.91,16,82438639,19,3574900,62,3753343564924.5,4,45708.81,15,2.22,129,107,19,3.8,64,NA,4,NA,4
"영국",2622433959604.2,5,39720.44,21,66959016,21,NA,78,257962699991,7,38977.65,22,1.79,142,119,12,4.3,56,NA,11,6159663,7
"인도",2597491162897.7,6,1939.61,119,1368737513,2,328725900,7,2597491162897.7,6,1939.61,94,6.62,24,NA,NA,NA,NA,NA,18,NA,12
"프랑스",258251307216.4,7,38476.66,22,6548710,22,54908700,46,2639294913780.9,5,4617.32,20,1.82,141,111,16,9.4,18,NA,7,NA,6
"브라질",25555502224.7,8,9821.41,61,212392717,5,NA,5,212934059875,8,9618,54,0.98,162,NA,NA,NA,NA,NA,25,NA,27
"이탈리아",1934797937411.3,9,31952.98,24,59216525,24,NA,70,1945066279175,9,32767.34,24,1.5,152,103,20,11.2,13,NA,9,NA,11
"캐나다",1653042795255,10,45032.12,15,37279811,38,NA,2,1630527439008.7,10,44520.49,16,3.05,100,115,13,6.3,38,NA,13,44218414,13
"러시아",1577524145963.2,11,1743.1,55,143895551,9,NA,1,153805095962.1,11,1681.35,50,1.55,151,NA,NA,5.2,45,35297500,16,23799100,18
"한국",15302,12,29743.5,26,51811167,28,10029535.08,107,15302,12,29744.6,26,3.1,98,100,22,3.7,66,NA,6,NA,9
"오스트레일리아",1323421072479.1,13,53799.94,9,25088636,55,NA,6,1287895768911.7,14,52673.46,10,1.96,136,133,6,5.6,42,NA,20,NA,22
"스페인",1311320015516,14,28156.82,29,46441049,30,50596400,49,131123945762.4,13,28286.55,27,3.05,99,95,23,17.2,6,NA,17,NA,16
