"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"미국",19390604000000,1,59531.66,6,329093110,3,983151000,3,19607598000000,1,60431.58,5,2.27,127,109,18,4.4,55,1546272961000,3,2408475702000,1
"중국",12237700479375,2,8826.99,65,1420062022,1,960000740,4,12206545540628.5,2,8660.09,57,6.9,16,NA,NA,NA,NA,2280366792000,2,1845974908000,3
"일본",4872136945507.6,3,38428.1,23,126854745,11,37797100,61,5048994353704.6,3,39604.79,21,1.71,146,102,21,2.8,73,698168369000,5,671258463000,5
"독일",3677439129776.6,4,44469.91,16,82438639,19,35740900,62,3753343564924.5,4,45708.81,15,2.22,129,107,19,3.8,64,1447967263000,4,1166687936000,4
"영국",2622433959604.2,5,39720.44,21,66959016,21,24361000,78,2579602699991,7,38977.65,22,1.79,142,119,12,4.3,56,441225303000,11,615906630000,7
"인도",2597491162897.7,6,1939.61,119,1368737513,2,328725900,7,2597491162897.7,6,1939.61,94,6.62,24,NA,NA,NA,NA,298927829000,18,445698867000,12
"프랑스",2582501307216.4,7,38476.66,22,65480710,22,54908700,46,2639294913780.9,5,40617.32,20,1.82,141,111,16,9.4,18,534977053000,7,623931647000,6
"브라질",2055505502224.7,8,9821.41,61,212392717,5,851577000,5,2012934059875,8,9618,54,0.98,162,NA,NA,NA,NA,217756148000,25,157501701000,27
"이탈리아",1934797937411.3,9,31952.98,24,59216525,24,30134000,70,1945066279175,9,32767.34,24,1.5,152,103,20,11.2,13,506241341000,9,452142724000,11
"캐나다",1653042795255,10,45032.12,15,37279811,38,998467000,2,1630527439008.7,10,44520.49,16,3.05,100,115,13,6.3,38,423706936000,13,442184140000,13
"러시아",1577524145963.2,11,10743.1,55,143895551,9,1709825000,1,1538005095962.1,11,10681.35,50,1.55,151,NA,NA,5.2,45,352975000000,16,237991000000,18
"한국",1530200000000,12,29743.5,26,51811167,28,10029535.08,107,1530200000000,12,29744.6,26,3.1,98,100,22,3.7,66,573694421000,6,478478296000,9
"오스트레일리아",1323421072479.1,13,53799.94,9,25088636,55,774122000,6,1287895768911.7,14,52673.46,10,1.96,136,133,6,5.6,42,231049744000,20,221332416000,22
"스페인",1311320015516,14,28156.82,29,46441049,30,50596400,49,1311203945762.4,13,28286.55,27,3.05,99,95,23,17.2,6,319400205000,17,350978945000,16
"멕시코",1149918794765.7,15,8902.83,63,132328035,10,196438000,13,1123689020980.8,15,8699.76,56,2.04,131,61,33,3.4,69,409494169000,14,420369151000,14
"인도네시아",1015539017536.5,16,3846.86,99,269536482,4,191093100,14,983430283946.4,16,3725.24,80,5.07,38,NA,NA,4.2,57,168729031000,27,156893305000,28
"터키",851102411118.1,17,10540.62,57,82961805,17,78535000,35,840009312299.6,17,10403.23,52,7.42,11,52,35,10.8,15,157177468000,29,233756106000,19
"네덜란드",826200282501.1,18,48223.16,11,17132908,69,4154000,132,821497767144.7,18,48221.46,12,3.16,95,114,14,4.8,49,527775959000,8,464795396000,10
"사우디아라비아",683827144288.5,19,20760.91,36,34140662,41,214969000,12,695639464288.5,19,21119.53,32,-0.74,174,NA,NA,NA,NA,221045067000,23,130117067000,30
"스위스",678887336848.3,20,80189.7,2,8608259,98,4129000,133,688327860905.4,20,81209,1,1.09,161,153,2,4.8,50,223911676000,22,188558391000,24
"아르헨티나",637590419269.3,21,14401.97,49,45101781,32,278040000,8,621648946642.5,21,14041.89,45,2.86,107,NA,NA,8.4,25,NA,NA,NA,NA
"대만",572767000000,22,24318,32,23551000,56,3596000,136,588434000000,22,24984,29,2.89,106,NA,NA,3.76,65,NA,NA,NA,NA
"스웨덴",538040458217,23,53442.01,10,10053135,89,44743000,53,546355016306.8,23,55127.79,8,2.29,126,124,9,6.7,35,153108809000,30,154008391000,29
"폴란드",524509565263.4,24,13811.66,51,38028278,37,31268000,68,504476225756.1,24,13216.32,48,4.55,48,58,34,4.9,47,230792752000,21,230410211000,20
"벨기에",492681283049.2,25,43323.81,17,11562784,80,3053000,138,496812464764.3,25,43468.18,17,1.73,145,113,15,7.1,29,430084487000,12,406361641000,15
"태국",455220920571.1,26,6593.82,73,69306160,20,51312000,48,435414734323.7,27,6306.93,64,3.9,69,NA,NA,NA,NA,235091332000,19,225080475000,21
"이란",439513511620.6,27,5415.21,82,82820766,18,174515000,16,440777017197.6,26,5430.78,70,4.3,52,NA,NA,NA,NA,NA,NA,NA,NA
"오스트리아",416595666396.6,28,47290.91,12,8766201,96,8387900,113,417416042907.4,28,47784.13,13,3.04,101,110,17,5.5,43,160268603000,28,166701218000,25
"노르웨이",398831956477.9,29,75504.57,3,5400916,118,38517800,60,415490872456.2,29,78314.96,2,1.92,138,137,4,4.2,61,101981316000,33,82756629000,38
"아랍에미리트",382575085091.9,30,40698.85,19,9682088,91,8360000,114,385352484683.5,30,NA,NA,0.79,165,NA,NA,2.5,76,NA,NA,NA,NA
"나이지리아",375770713742.8,31,1968.56,118,200962417,7,92377000,30,364278137791.9,32,1908.35,95,0.81,164,NA,NA,NA,NA,NA,NA,NA,NA
"이스라엘",350850537827.3,32,40270.25,20,8583916,100,2207000,150,347634306266.1,34,41775.09,19,3.33,90,134,5,4.2,58,61126448000,43,69150871000,41
"남아프리카공화국",349419343614.1,33,6160.73,77,58065097,25,121909000,23,338935994411.4,35,5975.9,67,1.32,157,NA,NA,27.3,1,88845439000,35,87145730000,35
"홍콩",341449340450.6,34,46193.61,13,7490776,103,110600,181,355658394497.8,33,48291.11,11,3.79,78,NA,NA,3.1,71,497579327000,10,559457379000,8
"아일랜드",333730764773.2,35,69330.69,5,4847139,124,7028000,119,273106292895,41,57355.31,7,7.8,7,125,8,6.7,34,137065933000,31,87913605000,34
"덴마크",324871968807.5,36,56307.51,8,5775224,114,4292000,131,331391534846.8,36,57798.65,6,2.24,128,143,3,5.7,41,101662797000,34,92363454000,33
