"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","文대통령, ""임기 내 全국민 기본생활 보장""...‘보편복지’ 선언",38,2,4,1156,5
"정치 ","文대통령 ""모든 국민, 전 생애, 기본생활…포용국가 청사진""",29,1,0,160,0
"정치 ","“4년 내 모든 국민의 기본생활 보장” 포용국가 원년 선포한 文",0,0,0,1,0
"정치 ","문 대통령 ""모든 국민 기본생활 보장""...'사람 중심 경제' 기조 재확인",0,0,0,0,0
"정치 ","문대통령 27일 靑서 UAE 왕세제와 정상회담…""신산업·국방협력""(종합2보)",0,0,0,4,0
"정치 ","文 대통령, 27일 靑서 UAE 왕세제와 정상회담… 왕세제, 방한 첫날 삼성전자로",0,0,0,0,0
"정치 ","강경화 외교, 칼둔 UAE 행정청장 면담 ""4차산업 분야 협력확대""",0,0,0,0,0
"정치 ","靑, 'UAE 왕세제 방한에 칼둔 안온다' 보도에 ""오보""",0,0,0,0,0
"정치 ","청 과기보좌관 ‘여성과학인’ 이공주 교수",1,0,0,2,0
"정치 ","과기보좌관 이공주·새만금개발청장 김현숙",0,0,0,1,0
"정치 ","새만금개발청장에 김현숙, 청 과학기술보좌관에 이공주",4,0,0,2,0
"정치 ","靑 과학기술보좌관에 이공주 교수, 새만금청장 김현숙 교수",2,0,0,2,0
"정치 ","文 지지선언한 교수 불러 김경수 판결 불복 간담회 연 與",9,0,0,415,0
"정치 ","김경수 판결문 들고서 거리 나가는 집권여당",8,2,1,731,1
"정치 ","민주당 ""김경수 지사, 드루킹과 '공모'만 했지 '공동 범행' 아냐"" 판결문 분석",5,0,0,103,0
"정치 ","집권 여당의 '판결 불복' 공세…사법부 압박 부적절 비판론",2,0,0,78,1
"정치 ","文의장도 나섰지만 국회정상화 또다시 불발…오후 협상 취소(종합2보)",110,7,1,437,6
"정치 ","[여당] 문 의장도 중재 나섰지만…국회 정상화 또 '불발'",0,0,0,5,0
"정치 ","2월도 문 닫나?...얼어붙은 정국에 국회의장 서한까지",0,0,0,0,0
"정치 ","반년 넘게…쟁점법안 한 건도 처리못한 국회",3,0,0,13,0
"정치 ","민주·야3당, 선거제개혁 패스트트랙 공조…압박인가, 결행인가",0,0,0,4,0
"정치 ","선거제 개혁, '한국당 패싱'한 여야 4당 공조 가능할까",0,0,0,0,0
"정치 ","'한계점' 언급한 이해찬 ""선거제 개혁 등, 패스트트랙 고민"" ",9,0,0,30,0
"정치 ","한국당, ‘선거제 패스트트랙’ 움직임에 “국회 문 닫자는 것”",24,0,0,6,0
"정치 ","문희상 ""당장 국회 열지 않으면 '촛불 쓰나미' 국회 향할 수도"" 경고 서한",74,0,0,74,2
"정치 "," “이게 국회냐” 국회의장의 일성…‘일하는 국회’ 만들기 어떻게 되고 있나 ",5,0,0,5,0
"정치 "," ‘정상화’ 불발에…“이게 국회냐” 소리친 문희상 의장 ",1,0,0,1,1
"정치 ","문 의장, 전체 국회의원에게 친전 서한...“국회 지금 당장, 무조건 열려야 한다”",0,0,0,0,0
"정치 ","문대통령 ""美조야 일부, 北변화 의구심·회의론…초당외교 중요""(종합)",3,0,0,4,0
"정치 ","文대통령 “美조야 일부 아직 北불신, 이럴 때 초당 외교 중요”",2,0,0,153,0
"정치 ","靑 ""탄력근로제 합의 환영…타협 통한 새로운 길 보여준 이정표""",0,0,0,3,0
"정치 ","靑 ""경사노위 탄력근로제 합의 환영…후속 조치에 만전""",1,0,0,3,0
