"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","공공기관 채용비리 182건 적발…""채용비리 취약기관은 상시 점검""(종합)",5,0,0,2,0
"정치 ","[일문일답]박은정 ""서울교통공사, 채용비리 조사 제외…감사원 감사""",0,0,0,44,0
"정치 ","불법 정규직 전환·친인척 특혜 채용…공공기관 채용비리 '만연'",33,7,9,1638,25
"정치 ","면접관이 삼촌, 자격증 없어도 합격···황당 공공기관",0,0,0,99,0
"정치 ","'김경수 구하기' vs. '황교안 탄핵 부당 발언' 여야 난타전",6,1,2,165,0
"정치 ","황교안 ""박근혜 탄핵 부당""…與 ""국민 모독, 민주주의 부정""",13,0,0,46,0
"정치 ","홍영표 “한국당 ‘극우의 길’ 가는 것인지 정체성 명확히 해야”",0,0,0,0,0
"정치 ","우경화·탄핵불복vs재판불복·블랙리스트…민주-한국 프레임 싸움",14,0,0,68,1
"정치 ","나경원 ""'문재인판 블랙리스트' 前정권과 급이 다른 초대형""(종합)",439,0,1,84,5
"정치 ","나경원 ""'문재인판 블랙리스트' 前정권과 급이 다른 초대형""",260,1,1,45,3
"정치 ","""드루킹은 문 대통령의 비선 조직""…한국당, 드루킹 특검 다시 추진",84,0,0,8,0
"정치 ","나경원 “문재인판 블랙리스트...前정권과 급이 다른 초대형”",116,1,0,16,1
"정치 ","헌재 탄핵 결정 2년이 지났는데…정치권 朴 탄핵 논쟁 재연",57,0,0,22,0
"정치 ","'탄핵 부정' 황교안, 제발로 덫에 걸렸나?",78,3,0,165,2
"정치 ","黃 '탄핵 반대' 커밍아웃…""미래 없다"" 홍준표 예언 적중",31,3,0,20,1
"정치 ","""친박 표도 구해야겠고..."" 황교안 '탄핵X'에 쏟아진 화살",23,0,0,61,1
"정치 ","문재인 대통령, 5.18 광주지역 원로들 만났다 ",0,0,0,3,0
"정치 ","문 대통령, 5·18 관련 광주 원로들과 오찬",1,0,0,3,0
"정치 ","文 '5·18 망언' 비판에 광주 민주화 원로 ""국민이 힘 얻어""",5,0,0,3,0
"정치 ","文대통령이 5·18 유공자?…""동명이인, 다른 사람""",6,2,0,18,0
"정치 ","김준교, 사과 1시간 전 ""문재인은 현직 대통령 아냐""파문(종합)",1366,16,7,1001,10
