"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","[일문일답]박은정 ""서울교통공사, 채용비리 조사 제외…감사원 감사""",0,0,0,26,0
"정치 ","면접관이 삼촌, 자격증 없어도 합격···황당 공공기관",0,0,0,49,0
"정치 ","불법 정규직 전환·친인척 특혜 채용…공공기관 채용비리 '만연'",27,5,7,1073,11
"정치 ","공공기관 채용비리 182건 적발…""채용비리 취약기관은 상시 점검""(종합)",0,0,0,0,0
"정치 ","헌재 탄핵 결정 2년이 지났는데…정치권 朴 탄핵 논쟁 재연",24,0,0,12,0
"정치 ","黃 '탄핵 반대' 커밍아웃…""미래 없다"" 홍준표 예언 적중",10,2,0,3,0
"정치 ","황교안 ""朴탄핵 잘못""…'탄핵' 판도라 상자 열린 한국당 全大 ",34,0,0,8,0
"정치 ","'탄핵 부정' 황교안, 제발로 덫에 걸렸나?",69,2,0,122,0
"정치 ","나경원 ""'문재인판 블랙리스트' 前정권과 급이 다른 초대형""(종합)",263,0,1,48,4
"정치 ","나경원 ""'문재인판 블랙리스트' 前정권과 급이 다른 초대형""",242,0,1,43,3
"정치 ","""드루킹은 문 대통령의 비선 조직""…한국당, 드루킹 특검 다시 추진",49,0,0,5,0
"정치 ","나경원 “문재인판 블랙리스트...前정권과 급이 다른 초대형”",99,0,0,14,1
"정치 ","우경화·탄핵불복vs재판불복·블랙리스트…민주-한국 프레임 싸움",8,0,0,29,1
"정치 ","황교안 '朴탄핵절차 문제' 발언에 與 ""대국민 사과하라""",24,3,1,498,0
"정치 ","황교안 ""박근혜 탄핵 부당""…與 ""국민 모독, 민주주의 부정""",8,0,0,36,0
"정치 ","홍영표 ""'탄핵 잘못됐다' 황교안, 민주주의 수호한 국민 모독""",18,1,0,178,1
"정치 ","문대통령, 오늘 5·18유공자 靑 오찬…'망언' 비판 메시지 주목(종합)",23,0,0,486,3
"정치 ","文대통령, 광주 원로 초청 간담회...""5·18민주정신 계승 의지 표현""",7,0,0,74,0
"정치 ","文대통령이 5·18 유공자?…""동명이인, 다른 사람""",5,2,0,16,0
"정치 ","文대통령, 오늘 5·18 민주화운동 광주원로 초청오찬(종합)",3,0,0,27,0
"정치 ","""저딴 게 대통령"" 김준교 ""현직 대통령 향한 막말 아니다"" 궤변 ",256,1,0,140,0
"정치 ","김준교, 사과 1시간 전 ""문재인은 현직 대통령 아냐""파문(종합)",788,8,4,646,7
"정치 ","“문재인은 현직 대통령 아니다”… ‘남자 3호’ 김준교의 극언",640,11,4,304,3
"정치 ","한국당 全大 막말 논란 김준교 ""말실수 진심으로 사죄""",249,1,3,139,2
"정치 ","<2차 美北 정상회담 D-7>인식차 드러난 文대통령-트럼프 통화",2,0,0,35,0
"정치 ","文대통령, 美에 北개발 부담 각오..韓중재역할 활용 요청 ",5,0,0,84,0
"정치 ","트럼프 ""만나서 북미회담 결과 설명""…문 대통령 ""언제, 어디서든 좋다""",14,1,0,30,1
"정치 ","이해찬 ""북미 정상회담 D-7, 분단 70년 마감 중대 계기""",4,0,0,11,0
"정치 ","손학규 ""여권 김경수 살리기, 삼권분립 흔드는 권력남용""",124,0,0,15,0
"정치 ","손학규 ""나라가 아주 어수선, 진흙탕 속 엉켜 싸우는 모습""",29,0,0,59,0
"정치 ","현역입영·동원훈련 통지서 '카톡' 수령 가능…우편요금 절감",16,2,2,54,1
"정치 ","병무청 앱에서 현역입영·동원훈련 통지서 받는다",0,0,0,0,0
"정치 ","이해찬, 탄력근로제 확대 합의에 ""하루빨리 국회 열어 관련 입법""",1,0,0,6,0
"정치 ","이해찬 ""경사노위 합의 반가워…국회, 입법절차 서둘러야""",3,0,0,6,0
"정치 ","나경원 “김경수는 깃털...與 몸통 보호하려  야단법석""...'특검 재추진' 밝혀",135,1,0,7,1
"정치 ","나경원 ""與전체 댓글조작했다 해도 되나…5·18논란 매도말라""",302,2,0,72,1
"정치 ","이준석, 환경부 블랙리스트 논란에 “그럼 조윤선은 왜 감옥에 간 거냐”",266,1,1,26,5
"정치 ","""초대형 블랙리스트"" ""합법적 체크리스트""…여야 대치 계속",1,0,0,47,0
"정치 ","박찬종 ""태극기 부대 중심엔 박근혜…'나를 잊어달라' 말해야""",34,0,1,19,3
"정치 ","박찬종 ""박근혜, 엉뚱한 말 말고 '나를 잊어달라'고 해야""",28,1,0,23,1
"정치 ","어쩌면 김정은도? “북한 주민들, 노벨평화상에 관심”",1,0,0,11,0
"정치 ","<2차 美北 정상회담 D-7>“北, 주민들에 ‘김정은 노벨평화상 가능성’ 선전”",0,0,0,1,0
"정치 ","이준석 ""과학고 선배 김준교, 저 정도는 아니었는데...""",4,0,0,14,0
"정치 ","이준석 ""김준교, 조급함 생긴 듯… 대학 때는 이해찬 지지모임""",3,0,0,4,1
"정치 ","‘3·1운동→3·1혁명’ 이름 바꾸자…찬성 49% vs 반대 39% [리얼미터]",8,0,0,103,0
"정치 ","[오마이뉴스 여론조사] '3·1 운동 → 3·1 혁명' 명칭 변경, 국민 절반 ""찬성""",26,1,0,99,0
"정치 ","김관영 “與野, 쉽게 합의 가능한 민생·개혁 법안만이라도”",0,0,0,1,0
"정치 ","김관영 ""민생·개혁 법안만이라도 합의 시도하자""",0,0,0,0,0
"정치 ","북미정상회담 일주일 앞...의제협상 팀 하노이 行",0,0,0,0,0
"정치 ","“북ㆍ미, 하노이 현지서 정상회담 의제 사전접촉 돌입”",2,0,0,0,0
"정치 ","[르포]4.3 앞둔 창원 민심 ""진보 단일화 해야 겨우 승산""",8,0,0,19,0
"정치 ","바른미래, 창원성산 보선 총력…손학규 ""상주해 지원""",0,0,0,0,0
"정치 ","김병준 ""한일관계 더 악화 안돼""…日자민당 간담회",1,0,0,3,0
"정치 ","김병준, 오늘 日 자민당 지도부와 간담회…양국 현안 교환",3,0,0,22,0
"정치 ","김준교 “내가 품격 없다고? 박근혜 모욕한 與 의원부터 사퇴를”",45,0,0,16,0
"정치 ","김준교 ""문재인, 대통령 아냐…민주당 의원들이나 사퇴하라""",17,0,0,31,0
"정치 ","민주·야3당, 선거제개혁 패스트트랙 공조…압박인가, 결행인가",4,0,0,22,0
"정치 ","선거제 개혁, '한국당 패싱'한 여야 4당 공조 가능할까",4,0,0,26,0
"정치 ","美비건-北김혁철 '하노이 담판'…제재완화 던지고 영변+α 받을까",0,0,0,0,0
"정치 ","[북미회담 D-7] 의제 최종조율 임박…영변+α 對 제재완화 접점찾나",67,1,0,86,0
"정치 ","하태경 ""문재인 대통령, 북한만 나오면 이성상실""",2025,5,1,146,11
"정치 ","文 “남북경협 떠맡을 각오”…與 “평화 준비”ㆍ野 “이성 상실”",2,0,0,24,0
"정치 ","“미군 유해송환 확대, 2차 북미정상 의제 포함”",0,0,0,0,0
"정치 ","""2차 북미회담 의제로 미군 유해 송환 문제 다룬다""",5,0,0,5,0
"경제 ","""중국, 성장률 둔화했지만 고용 호조…경기 낙관""",4,0,0,4,1
"경제 ","샌더 FT 칼럼니스트 ""美·中 무역갈등, 중국에 장기적 호재""",3,0,0,6,0
"경제 ","""중국 'AI 선도국' 머지 않았다""",0,0,0,3,0
"경제 ","“미중 갈등, 中 개혁 압박 요인...중국에 장기 호재 될 것”",3,0,0,1,0
"경제 ","한국 공공부문 일자리 비율 9%…OECD 평균 절반에도 미달",135,6,26,2526,15
"경제 ","공공일자리 4만6000개 늘었지만…땜질식 단기처방 급급 [이슈+]",0,0,1,60,1
"경제 ","文정부 집권 첫해 공공 일자리 4.6만개↑…""일자리로드맵 영향""",10,0,0,117,1
"경제 ","공공부문 일자리 1년새 4만6천개 ↑…OECD 최저 수준",0,0,0,0,0
"경제 ","소상공인 만난 정태호 靑수석 “자영업 독자정책 영역, 성장기반 만들 것”",2,0,0,0,0
"경제 ","자영업·소상공인 대책 체감도 높여라",2,0,0,5,0
"경제 ","업계와 함께 빚은 '자영업대책'...정부, 협·단체들과 상황점검",0,0,0,0,0
"경제 ","정부, 자영업기본법 제정 '속도'…자영업계 참여 대책회의 정례화",0,0,0,0,0
"경제 ","소비자원 ""장애인 전용 주차구역 대부분 설치기준 부적합""",0,0,0,0,0
"경제 ","이동통로 없고 표지판 없고… 장애인 주차구역 설치기준 준수 ‘0’",0,0,0,0,0
"경제 ","[단독] 공정위, 사건배당 개입 ‘前官’ 2명 1년간 접촉금지",1,0,0,1,0
"경제 ","공정위 직원이 접촉 신고한 외부인 셋 중 한명은 대기업 대관팀",0,0,0,1,0
"경제 ","""근로시간 단축으로 일자리 40만개 줄어... 탄력근무제라도 확대해야""",5,0,0,57,1
"경제 ","""주 52시간 근로 확대, 일자리 40만개 감소할 것""",3,0,0,5,1
"경제 "," 국세청-공인회계사회, '부실회계 위험정보 공유' 추진",0,0,0,0,0
"경제 ","국세청, 회계사회와 세정청렴 업무협약",0,0,0,0,0
"경제 ","中企사랑나눔재단, 2019년 ‘희망드림 장학사업’ 신청접수",0,1,0,0,0
"경제 ","中企사랑나눔재단, 희망드림 장학생 모집",1,2,0,0,0
"경제 ","정부, 5년만에 인도네시아와 양자 무역협상 재개",1,0,0,0,0
"경제 ","""한-인도네시아 CEPA 협상 재개"" 공식 선언",0,0,0,0,0
"경제 ","'미샤' 에이블씨엔씨, 내수 침체로 영업이익·당기순익 '적자전환'(상보)",0,0,1,0,0
"경제 ","에이블씨엔씨, 지난해 영업손 190억원…적자전환",0,0,0,0,0
"경제 ","NH농협금융, 우리농산물 건강희망상자 나눔 봉사활동",0,0,0,0,0
"경제 ","NH농협금융, 우리농산물 나눔 봉사활동",0,0,0,0,0
"경제 ","중진공, ‘中企 컨설팅 지원사업’ 참여기업 모집",0,0,0,0,0
"경제 ","중진공, '중소기업 컨설팅 지원사업' 참여기업 모집",0,0,0,0,0
