"catagory","title","participated"
"정치개혁","자유한국당 박종철  국민세금으로 56억 손해배상 낼생각하지마라","1"
"기타","남성복지좀만들어주세요;","0"
"보건복지","식당 수저에 위생관리를","0"
"인권/성평등","%% 빙상연맹 ""전명규""  즉시  구속 시켜라 !","2"
"보건복지","대통령님! 로봇수술및 pet도  암치료 약도의료보험적용과 치매예방 대책과 중환자실비용 의료보험적용을 조속히 청원한다.","0"
"기타","김구 묘지 안치되어있는 효창공원에서 침 뱉은 몰상식한 노친네 새X","0"
"기타","일본이 독감걸려서 다사망하게 해주세요","2"
"반려동물","개고기 불법 식용 판매를 없애주세요","1"
"보건복지","그랜드 캐년에서 사고 당한 학생의 사연을 보고 남에 일 같지 않아 제 얘기로 힘이 되셨으면....","1"
"정치개혁","그랜드캐년과 상식없는 이나라","4"
"외교/통일/국방","당나라군대계급표","0"
"보건복지","일본 독감 비상 여행 자재 권고 시급","1"
"기타","불법음란물 강력처벌 - 문재인 대통령 멋지십니다 !!!! 잘하셨습니다 !!!!!","1"
"교통/건축/국토","불기피할 경우 ♥직권해제도 적극 검토""","0"
"외교/통일/국방","일본 자위대 항공기 저공비행 저지대책","0"
"기타","전세자금 대출 조건 완화를 간곡이 요청합니다.","1"
"미래","국민소득 1인당 3만 달러, 어디로 갔을까요?  3만 달러 중 개인이 비중은 2만 달러도 안 돼지요?","0"
"정치개혁","공산주의자를 독립유공자로 둔갑/손혜원 부친!","3"
"기타","그랜드 캐넌 10억 배상을 보고 저도 돈좀 빌려 주십시요","3"
"정치개혁","자유한국당은  하루빨리 해체하라 !","5"
"정치개혁","불기피할 경우 ♥직권해제도 적극 검토"".","0"
"기타","공무원 술 안먹기 운동","1"
"교통/건축/국토","그린벨트를 지금 ♥해제하세요. 지분등기 →를 금지시키고","0"
"농산어촌","허브 향신료 보급해달라!!!!!!!!!!","0"
"행정","문재인 대통령께   직언합니다!","1"
"교통/건축/국토","♥ 후손→을 위해 서민,청넌등의 APT를 저가로 공급하세요","0"
"보건복지","수술비가 없어니 수술좀하게 해주세요","4"
"경제민주화","경제","0"
"교통/건축/국토","수도권에 3급이하의 그린벨트(훼손된 지역)해제하며","0"
"기타","제발 저희 가족좀 살려주세요","2"
"정치개혁","♠20-30$시대에 살면서 국가에 공헌하여","0"
"정치개혁","일가족4명의 자살과 그랜드캐년","10"
"외교/통일/국방","우리는 일본의 속국이 아닙니다","2"
"육아/교육","나도 국가세금으로 지원해달라!!!!","1"
"교통/건축/국토","아파트주민대표의 횡포","0"
"정치개혁","일가족4명의 자살과 그랜드캐년","5"
"교통/건축/국토","용지가격이 2010년에 1평에 약 ♥750만원 고가로 공급 되였습니다","0"
"정치개혁","일가족4명의 자살과 그랜드캐년","2"
"외교/통일/국방","문재인정부가 작년에 북한으로 석유300톤을 보냈다는데","0"
"농산어촌","그랜드캐논 반대합니다.","6"
"경제민주화","갑작스런 상장폐지위기로 수많은 주주들이 피해를 보고있는 코스닥상장기업 와이디온라인을 위기에서 구해주십시오.","9"
"정치개혁","선거제도 폐지.추천제(공천)도 폐지하라.","0"
"외교/통일/국방","정경두똥별장관퇴진하라!!","0"
"기타","손석희 폭행혐희 인정해야하나","2"
"교통/건축/국토","♥정부관료와 부자등등이 부동산 폭등의♥주범들이다","0"
"교통/건축/국토","제주 제2공항 적법하게 진행하라!","0"
"기타","방탄소년단 군대 입대 한꺼번에 합시다","8"
"교통/건축/국토","현실화율53 %  말이되나? 80%로하라","1"
"교통/건축/국토","현실화율53 %  말이되나? 80%로하라","0"
"인권/성평등","제 이야기좀 들어주십쇼... 억울합니다...","1"
"문화/예술/체육/언론","베트남이 일본이기게 도와주세요","2"
"교통/건축/국토","전, 월세♣ 상한가을 법으로 의무화 해야한다","0"
"교통/건축/국토","버스 빼고 택시 카풀 둘다  없애 버립시다 진짜","3"
"인권/성평등","군인 인권 이제는 개선되어야 됩니다.","1"
"정치개혁","♥116조 사용한 결과 출산률은 점점 ♥하락이다","1"
"외교/통일/국방","일본은 우리 군함을 위협 비행하고도  큰소리치는대   일본을 비호 하는  자유 한국당은 과연 어느나라 정당인가","4"
"정치개혁","(그랜드캐년)나는 돈이없어 서울도못가는데","9"
"교통/건축/국토","재건축관련해서","0"
"정치개혁","인사는 ♠만사라는 신념하에 각분야에 ♥최고 전문가들을 초빙하여 전","0"
"안전/환경","노후 경유차 조기페차 관할지역 2년거주  비합리적 규정","0"
"안전/환경","노후 경유차 조기페차 관할지역 2년거주  비합리적 규정","0"
"기타","그랜드캐넌 추락사고자 박준혁군의 치유를 반대합니다","10"
"경제민주화","우리나란경제는언제쯤빛을볼가..","1"
"안전/환경","노후 경유차 조기페차 관할지역 2년거주  비합리적 규정","0"
"교통/건축/국토","공시지가 현실화 율 53% 말이되는가? 80%로하라","3"
"기타","한심한 인간들아 정신들 차려라...","3"
"미래","철도공사를 당장 중단하고 그 돈을 군면제자한테 지불하세요.","0"
"교통/건축/국토","■-넌 바보야 문제는♥부동산이야","2"
"외교/통일/국방","방위비 분담금 해결 하세요 빨리 국민 생명을 단보 잡지 마세요","0"
"정치개혁","국제적 망신정당 단체 자유한국당 국회의원들을 낙선운동으로 영구제명 시키자","5"
"기타","친구 똥고멍을 유네스코 세계유산으로 등록하고 싶어요","5"
"농산어촌","새우젓토굴 없애버리고 냉동고로 보관하자 과학기술 발전했다","0"
"문화/예술/체육/언론","조선일보의 오보 그리고 취재원 왜곡. 방통위는 머하고 있나","3"
"정치개혁","국회의원들의 뻔뻔함은 어디까지 인가요??","3"
"교통/건축/국토","♣-박원순 시장의 여의도·용산 ♥통합개발 계획 발표 이후","2"
"경제민주화","삼성화재보험  불매(不買)운동을 제안합니다","2"
"정치개혁","투기꾼을 옹호하는 민주 주물럭당은 헤체하라!!","3"
"문화/예술/체육/언론","더 유닛 그룹 UNB 해체를 늦춰주세요","2"
"교통/건축/국토","●그린벨트를(3급이하인 훼손된♠논밭)등●용산 미군부대","0"
"경제민주화","삼성화재보험  불매(不買)운동을 제안합니다","2"
"정치개혁","얼빠진나라와 그랜드캐니언","8"
"기타","문재인생일빵탄핵파티","0"
"정치개혁","얼빠지나라와 그랜드캐니언","2"
"경제민주화","삼성화재보험  불매(不買)운동을 제안합니다","2"
"인권/성평등","허풍떠는 허 판사가 저승사자 대법관에게 아부하는 사법농단회원","1"
"외교/통일/국방","양심적 병역 거부","3"
"기타","세금!!!","3"
"정치개혁","자유한국당과 일부 바른미래당 소속 국회의원은 원자력발전소근처로 이주하라","2"
"인권/성평등","그랜드캐년사고자처럼  저도 도와주세요","4"
"기타","재인아한가하게케잌이목구멍에넘어가냐?","4"
"정치개혁","추하고 역겨운 서울역 대통령 생일광고 당장 없애십시오!!","19"
"기타","30년 1주택보유 70대 무직인데 세금폭탄으로 못살겠다!","0"
"보건복지","너무억울하고 분해서 모든게 거짓으로일삼는 병원들의만행에  시안부삶을살고있습니다  병원옥상에서 자살하려합니다  제 원한좀 풀어주세요","0"
"정치개혁","꼴페미좀 없애주시면 안되나요","1"
"정치개혁","손혜원 을 구속 수사 특검 해주세요.","3"
"안전/환경","그랜드 캐니언 추락사고에 대한 국민이 반대하는 지원은 하지 마십시요","137"
"교통/건축/국토","광주광역시 반도유보라 분양권 전매 특별단속요청","7"
"정치개혁","명 판사님 화이팅입니다  저승사자 양승태을 구속하여 고맙습니다","2"
"농산어촌","직접 꽃농사를 경영하고 있는 미혼의 농부입니다.","1"
"정치개혁","이명박 시절 한나라당이 주장하는 천안함폭침사건 유족에게 진실을 밝혀야","4"
"안전/환경","중국의 원자력발전소와 우리나라의 역학관계","0"
"인권/성평등","청와대 청원계시판에 글올린후 3천배나 더 괴롭힙니다","1"
"문화/예술/체육/언론","TV 컨텐츠 이용료가 너무 많이 올랐네요","1"
"행정","공무원 시험","1"
"기타","외식프렌차이즈 업체 라이온FG(까사밍고)를 고발 합니다.","1"
"정치개혁","세금좀 고만 올리라 이 ㅆ ㅣ 발 것들아!!!!","3"
"정치개혁","페미니스트 및 여성부 폐지","6"
"저출산/고령화대책","노인연령  상향  검토   적극  반대  (국민연금  수급나이  늘리려는  개  꼼수  -  제2의 촛불이  일어날것이다)","3"
"정치개혁","밥먹듯 보이콧하는 자유한국당","4"
"일자리","농작업 안전보건기사 응시자격 제한에 관하여","1"
"정치개혁","자유한국당은 괴물 범죄자를 우대하는 국제공인 범죄 정당","3"
"인권/성평등","군복무중 몸상태가안좋습니다","3"
"교통/건축/국토","두려울게 없는 사람들","1"
"행정","제로페이 영업 활동을 중단시켜주세요","2"
"성장동력","대통령님 및 그 졸개들은 나라가 어디로 가는지 똑 바로 바라..","2"
"경제민주화","문재인은 아베하는거 반만이라도 해봐라","3"
"일자리","국민연금 찾게해줘라 빚좀값자 고리이자 나가는국민들 생각해봐라","7"
"보건복지","<U+0001F308>국민연금 지급시기 늦추려고. 조삼모사하지마라좀 참여정부처럼퇴출될라","5"
"문화/예술/체육/언론","전명규에 훈장을 회수하라","5"
"기타","치아비용이. 부담됩니다","6"
"기타","그랜드캐니언 가족분들께 묻고싶습니다.","39"
"정치개혁","자유한국당은 살인 도둑 누명씌우는 달인 안보팔아서  주머니채우는 국제범죄당","2"
"안전/환경","자연석계단 좀 만들지 마세요...미관보단 안전입니다","3"
"정치개혁","문재인 대통령님 에게.....","5"
"기타","미국 그랜드 캐년 놀러가다 추락사고 난 청년 세금으로 도와주지 말아주세요","42"
"인권/성평등","한국은 특권층과 지도층 또  재벌은 죄가 있어도 무죄 힘 없는자는 죄가 없어도 범죄자인 나라","4"
"교통/건축/국토","중흥토건 부실공사로 인한 입주예정자 일방적계약해지 계약금 갈취","165"
"인권/성평등","불법음란물 강력처벌 - 문재인 대통령 멋지십니다 !!!! 잘하셨습니다 !!!!!","5"
"경제민주화","산업통상자원부 수도권 반도체 클러스터 발표, 반도체산업 육성정책의 중복을 강력히 반대한다!","0"
"정치개혁","공안살인자 황교안이 새누리당 정부 때  국민생명과 허위안보 외치면서 불량 전쟁무기 구입 후 고의로 국민죽음 유도했던자","2"
"농산어촌","ggg","0"
"반려동물","실비김치를 판매 중지해주세요.","1"
"안전/환경","명백한 중범죄","2"
"보건복지","허위진단 의료사고로 한순간에 모든걸잃고 시안부인생으로 혼자 늘 누워살고있습니다","5"
"교통/건축/국토","동탄 교통 지옥해결하라","28"
"문화/예술/체육/언론","손혜원 이번엔 목포가 아닌 통영 투기 의혹???","17"
"정치개혁","★ ★ 정부 및 국회에 관한 국민 청원 ★ ★","4"
"보건복지","이명박때는 유류세환급인가 몬가라도 주었는데 이정부들어선 라면한조각도없네","5"
"경제민주화","삼성화재보험  불매(不買)운동을 제안합니다","3"
"정치개혁","조해주의 선관위의 공정성 여부..","1"
"기타","삼성화재보험  불매(不買)운동을 제안합니다","1"
"기타","법원소송 1, 2심 모두 판결 과정이 모순","1"
"행정","윗집 누수로 인한 피해보상 및 고소방법 개선 부탁드립니다.","2"
"보건복지","<U+0001F308>국민연금 지급시기 늦추려고. 조삼모사하지마라좀 참여정부처럼퇴출될라","2"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"정치개혁","책임회피 금지법 제정","0"
"육아/교육","세림이법","2"
"행정","그랜드캐년 국가가 도와야 할 일인지 의문이 듭니다","54"
"외교/통일/국방","한일 군사협정 파기 해야 합니다.~~ 외교부의 강력 대응 해야만 합니다.","7"
"인권/성평등","소방경찰 제외한 전 공무원 시험에서의 양성평등할당제 폐지해주세요.","1"
"정치개혁","[국민감사] 대법원 2018행심380-2 기피신청관련 위원장 김창보 를 직권남용, 국헌문란죄로 고발합니다","1"
"일자리","절대 사람이란 종자들은 믿지마세요","1"
"기타","노인인구를 65세에서 70세까지 올린다면..","4"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","2"
"기타","우리나라 소방관,경찰관 분들과같은 위대한직업에대한 복지시설을 더 개선해주세요","3"
"보건복지","저희 아버지의 아픔과 고통을 대신하여 호소합니다","3"
"외교/통일/국방","일본극우의 한국함정 침범","2"
"정치개혁","[국민감사] 대법원 2018행심379-2 기피신청관련 위원장 김창보 를 직권남용, 국헌문란죄로 고발합니다","0"
"기타","아무것도 모르는 노인에게 보험가입 사기를 종용하는 삼성생명과 담당자를 고발합니다","5"
"정치개혁","조선일보 그린벨트(의정부 소재)훼손에 대한 원상복구 청원","7"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"외교/통일/국방","대 국민보도에 관하여","0"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"정치개혁","'손혜원 법' 제정을 청원합니다.","11"
"기타","이게나라구나","3"
"인권/성평등","(삭제하지마세요ㅡ(새로운청원)ㅡ중복청원 아님)ㅡ경찰에 의해 자행된 민간인사찰 피해자 특별법제정 청원","0"
"기타","문재인유전자","7"
"기타","가정폭력 처벌을 높여주세요","476"
"보건복지","그래드캐논 추락사고와 고 노무현대통령의 발자취","8"
"보건복지","가입기간 10년 미만인  근로자 였던 (산정특례자)모든분께","0"
"안전/환경","문재인 대통령님 한국대기업들 중국발 미세먼지 해결책에 도움을주세요 부탁드립니다","1"
"육아/교육","대학등록금","2"
"교통/건축/국토","살려주십시오","2"
"미래","황교익씨는 음식을 잘하나요","1"
"교통/건축/국토","경기는 바닥인데 세금만 뜯는 정권","12"
"일자리","경상남도진주시삼성교통급여문제로인한버스파업","7"
"행정","국세청 연말정산 간소화 서비스는 허울인가?","1"
"정치개혁","북한에 국민들도 세금내역공개했으면 좋겠습니다","2"
"외교/통일/국방","일본 초계기 위협비행에 당당히 자위권을","3"
"정치개혁","빨갱이 가족에게 혈세 지급 중단하라!","20"
"정치개혁","나경원은 예천군의원들 범죄를 누명씌워서 전남 목포로 옮겼다","4"
"기타","반값 등록금에 가까운 3학년1학기 90학점 졸업어떠십니까??","0"
"기타","증권회사 직원한테 투자사기","0"
"정치개혁","자유한국당은 예천국의원 범죄를 전남 목포로 옮기는 것은 전두환 광주사건에서  배운 것","2"
"기타","대통령님이 탄생한 날을 기뻐합니다.","4"
"육아/교육","우리 아이는 국민의 자격이 없나요?","58"
"정치개혁","나경원원내대표는 지금 예천군을 돌보라.","3"
"문화/예술/체육/언론","적폐축협비리조사하라","0"
"육아/교육","학생증에 유효기간 또는 생년월일 기재 바랍니다.","2"
"안전/환경","택시 속도제한 의무화 및 안전교육 강화","1"
"인권/성평등","문재인 대통령님 생신 축하드려요","15"
"외교/통일/국방","군인(장병)을 지켜주세요","35"
"기타","골목식당에 나온 청파동 피자집","1"
"정치개혁","국제범죄왕 나경원의 조직 예천군의원과 함께 검은돈공천 수사하라","4"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"미래","잘생긴남자좀소개시켜주세요","6"
"교통/건축/국토","아파트주민대표의 횡포","2"
"보건복지","안타깝다  살고싶다","1"
"보건복지","힘든 국민을  외면하지 말라","4"
"보건복지","또  비극적인  선택을 한  화곡동 일가족   문씨야  한번 생각을 해봐라  힘든 국민을  외면하지 말라","2"
"일자리","경제좀 신경써줘","4"
"경제민주화","삼성화재 불매(不買)운동을 제안합니다","1"
"일자리","작의적인 해양수산부 고시 해석 및 민원 신청 거부","0"
"정치개혁","세금 지급 거부권 제안","5"
"일자리","국민연금 찾게해줘라 빚좀값자 고리이자 나가는국민들 생각해봐라","7"
"경제민주화","삼성화재 불매운동을 제안합니다","2"
"정치개혁","자유한국당 나경원은 검은돈공천 예천군의원들 사건을 목포에 누명씌워","7"
