"catagory","title","participated"
"기타","윈윈사이트 개인정보유출","2"
"경제민주화","삼성바이오 투자자입니다","5"
"일자리","5인이하 사업장 예외조항 삭제하라","4"
"문화/예술/체육/언론","불법 만화,애니 폐지에 관하여","17"
"인권/성평등","앞으로 성추행 및 성폭행 사건에 대해서 비공개수사로하고 기사통제해주세요","8"
"육아/교육","지방의 학교에서도 등교시간 오전 9시까지와 교내 휴대폰 사용을 허가해주십시오.","3"
"인권/성평등","인간이기를 포기한 갑질의 끝판왕 양진호회장을 무기징역시켜주세요","41"
"육아/교육","아이와 함께 이사는 힘든가요?","1"
"안전/환경","전주 고형폐기물 소각발전소 반대","20"
"정치개혁","정치인=쓰네기","1"
"인권/성평등","이재명 경기도지사의 정치적탄압을 중단해 주십시오!","39"
"기타","가정폭력 피해자는 가해자 처벌이 아닌 피해자 보호를 원합니다.","14"
"인권/성평등","직장인 강제 직무 변경 사전 고지 및 합의 의무화 등","2"
"기타","주택사기차압죄 엄연히 처벌받기를.","24"
"행정","유치원 폐원 관련 민원인에게 막말을 하는 서산교육지원청 공무원을 징계해주세요.","36"
"육아/교육","입시 문제를 대학 자율로 맡기고 교육부는 부정비리 관리에 전념토록 하는 청원입니다.","9"
"육아/교육","부모교육의 반의무화","10"
"안전/환경","kt아현지사 화재 통신 장애 후속대처방안 마련해주시길 부탁드립니다","2"
"기타","과연 국민의 소리를 듣고는 계십니까? 소수의 발언은 모이지 않으면 묻혀도 되는 그런 것들로 치부하십니까?","17"
"미래","조두순의 실명과얼굴을 밝혀주세요","63"
"안전/환경","세계온실가스배출량7위,우리나라의 현실","2"
"안전/환경","강서구 피시방 살인사건 동생 신상공개!!","18"
"기타","불법으로 애니를 퍼다가 공유하는 **24 단속해주십쇼.","4"
"미래","기초수급자","1"
"기타","부산광역시 사상구 ** ** 아파트 ***동 문제점","0"
"행정","범죄 처벌 형량을 높여 주세요, 형량이 너무 낮습니다.","20"
"안전/환경","염산,황산,질산,불산 전면생산/수입/판매금지요청","5"
