"catagory","title","participated"
"외교/통일/국방","92세 이산가족 할머니의 가족 생사여부라도 알려주세요","3"
"육아/교육","사립특수학교 정교사를 공립특수학교 정교사로 전환하는 것을 반대합니다.","340"
"정치개혁","일베짓을 못하게막아주세요","4"
"교통/건축/국토","용산에 상징적의미로 임대주택","19"
"교통/건축/국토","2017년 경부고속도로 M버스 사고를 기억하십니까?..그 버스업체 현직 운전기사입니다.","8"
"외교/통일/국방","L-SAM 개발지연 더이상은 안됩니다.","6"
"정치개혁","부동산이 대한민국의 운명을 결정짓는다!","10"
"문화/예술/체육/언론","스포츠토토 개선요청","8"
"행정","편하게 아이들 키우게좀 부탁드려요.","5"
"인권/성평등","기독교 방송은 사기꾼 목사의 수족 노릇을 합니까?","7"
"기타","기업보호 제도 및 장치를 마련해 주시기 바랍니다.","5"
"육아/교육","가정 어린이집 원장앞으로 원아등록을 폐지해주십시요.","321"
"행정","경찰 수사관의 만행","8"
"인권/성평등","역차별적인 여가부 예산  여성세 걷어서 하자","6"
"기타","U+ shop 할부구매 조작","3"
"인권/성평등","아이들이 망원어린이야구장에서 차별받지 않고 운동할수 있도록 도와주세요~~","6"
"미래","***부동산 대책 끝난겁니까???????***대체 철학이 잇어요??????  능력없으면  나가세요!!!!!","14"
"교통/건축/국토","부동산 정책 및 주거 안정","26"
"행정","국고 지원금, 지자제에서 지원받는 단체및 재단.감사 철저히 해주세요","16"
"경제민주화","지게차 굴삭기 횡포","5"
"성장동력","꽃에 물을 줘야합니다~","3"
"기타","문재인대통령님! 제발 울산 성민이 죽인 원장부부 다시 처벌 해주세요.","45"
"교통/건축/국토","불법, 난폭 운전에 대한 신고제도 청원","5"
"교통/건축/국토","다주택자10명주택3800채보유이게나랴냐?신도시급이다","29"
"인권/성평등","음주로 인한 모든 범죄는 가중처벌법을 제정바랍니다.","22"
"행정","이혼한 친부모의 자녀 주민등록초본 발급 제한","7"
"정치개혁","남성역차별하는 여가부및 여성할당제 폐지해라","10"
"기타","대통령님 제발 봐주세요 답답하고 암울합니다.. 어디다 글을 써야될지 모르겠어서 이렇게 글올립니다.","2"
"행정","모든국민이행복한청렴하고바른국가","1"
"일자리","52시간제","5"
"일자리","52시간제","5"
"기타","임경민좀 잡아가주세요","4"
"문화/예술/체육/언론","방탄소년단을 정치에 연관 시키지 마십시요","9"
"행정","청렴한국가","1"
"교통/건축/국토","광주광역시 투기지역 지정바람","20"
"인권/성평등","일산 라페스타 웨스턴동 노래연습장","4"
"육아/교육","사학 교사채용 개선 반드시 필요합니다!!","46"
"일자리","정부대전청사 기간제근로자는 최대2년?","2"
"기타","공익 사회복무요원 임금 인상 & 아르바이트 허가","7"
"저출산/고령화대책","""성년의 결혼 의무"" 를 입법화 할것을 제안함","3"
"미래","우리도 일본처럼 지방 국립대를 강화해야 합니다.","6"
"외교/통일/국방","민주당 좌파 정치인인 송영길의원이 국정감사에서 북한은 핵개발로 인하여 잘살고 있고, 김일성을 아버지라고 부르며 가족적으로 행복하게 살고 있다고 했다는데…말세는 말세입니다.","29"
"교통/건축/국토","운전면허 교육 내용 좀 바꿔주세요","8"
"육아/교육","전국초등학교에 병설 유치원 만들어주세요","38"
"안전/환경","성인실종이 1년에 4000명에 달한다고합니다. 관련된법을 개정해주세요.","4"
"육아/교육","감사 거부 / 비리 유치원의 처분에 관한 청원","121"
"안전/환경","외국인 대포차 단속강화를 바랍니다.","22"
"육아/교육","초등학교를 이용하여 국공립유치원 늘리는 공약을 지키길 강력히 촉구합니다.","38"
"인권/성평등","여성편파 수사 당장 중단하라!","5"
"행정","운송료 못 받는일 없도록 도와주세요","6"
"미래","미래세대 부담주는 공공 일자리 대신에 민간일자리 부터 먼저 만들어 주세요","7"
"육아/교육","사립학교 감사 제안","36"
"육아/교육","사립유치원 세금지원 받았으면 감사당연히","59"
"육아/교육","어린이집,유치원 전수조사및 시스템강화해주세요~","158"
"인권/성평등","법판결의 부적합과 억울함","6"
"일자리","간호조무사가 보건관리자로 선임 될 수 있도록 검토 바랍니다.","5"
"육아/교육","스마트폰 법적 연령제한!!!!!!!!!!!","4"
"안전/환경","대진침대 라돈 매트리스 수거 지자체가 해주시면 안되나요?","6"
"정치개혁","저희할머님애기입니다 꼭좀봐주세요...","8"
"기타","부동산중계업자의횡포로 죽어가는세입자","8"
"교통/건축/국토","오피스텔 관리소의 횡포로 점포 문을 닫아야 할 상황입니다.","6"
"인권/성평등","사립유치원 비리 철저히 수사 하면 차기 국회의원 등 선거에 반드시 당선된다.","44"
"안전/환경","지하철 좌석 관련 (노약자 및 임산부)","4"
"육아/교육","어린이집 사립유치원 정부지원 왜 하나요??","65"
