"직업_분류","직업_이름","연봉_만원","일자리전망","발전가능성","고용평등"
"관리직(임원·부서장)","교장","4000 이상","보통미만","보통이상","매우좋음"
"관리직(임원·부서장)","국회의원","4000 이상","보통미만","보통이상","보통이상"
"관리직(임원·부서장)","기업고위임원","4000 이상","보통미만","보통미만","보통미만"
"관리직(임원·부서장)","스포츠에이전트","4000 이상","매우좋음","보통이상","매우좋음"
"관리직(임원·부서장)","외교관","4000 이상","보통미만","보통이상","보통이상"
"관리직(임원·부서장)","행정부고위공무원","4000 이상","보통미만","보통이상","보통이상"
"관리직(임원·부서장)","호텔지배인","4000 이상","매우좋음","보통이상","매우좋음"
"경영·행정·사무직","감정평가사","4000 이상","보통미만","보통이상","좋음"
"경영·행정·사무직","경영컨설턴트","4000 이상","보통이상","매우좋음","매우좋음"
"경영·행정·사무직","관세사","3000 이상","보통미만","보통이상","좋음"
"경영·행정·사무직","광고 및 홍보전문가","4000 이상","좋음","매우좋음","좋음"
"경영·행정·사무직","광고기획자","4000 이상","좋음","매우좋음","좋음"
"경영·행정·사무직","국제무역사무원","3000 이상","보통이상","좋음","좋음"
"경영·행정·사무직","국제회의전문가","3000 이상","좋음","매우좋음","보통이상"
"경영·행정·사무직","군무원","3000 이상","좋음","보통이상","보통이상"
"경영·행정·사무직","노무사","4000 이상","보통이상","매우좋음","매우좋음"
"경영·행정·사무직","마케팅전문가","4000 이상","좋음","매우좋음","좋음"
"경영·행정·사무직","물류관리사","3000 이상","좋음","보통미만","보통미만"
"경영·행정·사무직","바이어(구매인)","4000 이상","좋음","매우좋음","좋음"
"경영·행정·사무직","보석감정사","4000 이상","보통미만","보통이상","좋음"
"경영·행정·사무직","사무보조원","2000 미만","보통이상","보통미만","좋음"
"경영·행정·사무직","설문조사원","2000 미만","보통이상","보통미만","보통이상"
"경영·행정·사무직","세무사","4000 이상","좋음","보통미만","좋음"
"경영·행정·사무직","속기사","2000 미만","보통이상","보통미만","보통이상"
"경영·행정·사무직","시장 및 여론조사전문가","4000 이상","보통미만","좋음","매우좋음"
"경영·행정·사무직","일반공무원","3000 이상","좋음","보통이상","보통이상"
"경영·행정·사무직","전문비서","2000 이상","보통이상","보통이상","보통이상"
"경영·행정·사무직","전자상거래전문가","3000 이상","좋음","좋음","보통이상"
"경영·행정·사무직","전화교환원","2000 미만","좋음","보통미만","보통이상"
"경영·행정·사무직","조향사","4000 이상","보통미만","보통이상","좋음"
"경영·행정·사무직","파티플래너","3000 이상","좋음","매우좋음","보통이상"
"경영·행정·사무직","행사기획자","3000 이상","좋음","매우좋음","보통이상"
"경영·행정·사무직","회계사","4000 이상","보통이상","매우좋음","매우좋음"
"경영·행정·사무직","회계사무원","3000 이상","좋음","좋음","좋음"
"금융·보험직","금융자산운용가(펀드매니저)","4000 이상","보통미만","매우좋음","매우좋음"
"금융·보험직","보험계리인","4000 이상","보통이상","매우좋음","매우좋음"
"금융·보험직","생활설계사","2000 이상","매우좋음","매우좋음","매우좋음"
"금융·보험직","선물중개인","4000 이상","보통미만","매우좋음","좋음"
"금융·보험직","손해사정사","4000 이상","좋음","매우좋음","매우좋음"
"금융·보험직","신용관련추심원","3000 이상","보통이상","보통미만","좋음"
"금융·보험직","신용조사원","4000 이상","보통미만","매우좋음","좋음"
"금융·보험직","영업원","3000 이상","좋음","좋음","보통미만"
"금융·보험직","외환딜러","4000 이상","보통미만","매우좋음","좋음"
"금융·보험직","은행출납사무원","3000 이상","좋음","좋음","좋음"
"금융·보험직","증권분석가","4000 이상","보통미만","매우좋음","좋음"
"금융·보험직","증권중개인","4000 이상","보통미만","매우좋음","좋음"
"금융·보험직","투자분석가(애널리스트)","4000 이상","보통미만","매우좋음","좋음"
"인문·사회과학 연구직","경제학연구원","4000 이상","보통미만","매우좋음","매우좋음"
"인문·사회과학 연구직","교육학연구원","2000 이상","보통미만","보통이상","매우좋음"
"인문·사회과학 연구직","사회학연구원","4000 이상","보통미만","매우좋음","매우좋음"
"인문·사회과학 연구직","심리학연구원","2000 이상","보통미만","보통이상","매우좋음"
"인문·사회과학 연구직","언어학연구원","2000 이상","보통미만","보통이상","매우좋음"
"인문·사회과학 연구직","역사학연구원","2000 이상","보통미만","보통이상","매우좋음"
"인문·사회과학 연구직","정치학연구원","4000 이상","보통미만","매우좋음","매우좋음"
"인문·사회과학 연구직","철학연구원","2000 이상","보통미만","보통이상","매우좋음"
"인문·사회과학 연구직","행정학연구원","4000 이상","보통미만","매우좋음","매우좋음"
"자연·생명과학 연구직","기상연구원","4000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","농업기술자","3000 이상","보통미만","보통미만","좋음"
"자연·생명과학 연구직","물리학연구원","4000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","생물공학연구원","3000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","생물학연구원","3000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","수질환경연구원","4000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","수학연구원","4000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","신약개발연구원","3000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","유전공학연구원","3000 이상","보통미만","좋음","매우좋음"
"자연·생명과학 연구직","일기예보관","4000 이상","보통미만","좋음","매우좋음"
